frame,count
1888,5
1889,6
1890,5
1891,5
1892,7
1893,5
1894,5
1895,5
1896,5
1897,6
1898,5
1899,4
1900,4
1901,6
1902,5
1903,5
1904,6
1905,5
1906,6
1907,4
1908,5
1909,5
1910,6
1911,5
1912,5
1913,5
1914,5
1915,5
1916,5
1917,5
1918,5
1919,5
1920,4
1921,4
1922,4
1923,4
1924,4
1925,4
1926,4
1927,4
1928,4
1929,4
1930,4
1931,3
1932,3
1933,3
1934,3
1935,2
1936,3
1937,3
1938,3
1939,3
1940,2
1941,4
1942,3
1943,5
1944,3
1945,3
1946,3
1947,3
1948,2
1949,3
1950,3
1951,2
1952,2
1953,0
1954,0
1955,1
1956,0
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,2
1964,2
1965,2
1966,1
1967,1
1968,1
1969,2
1970,2
1971,2
1972,2
1973,3
1974,3
1975,2
1976,1
1977,1
1978,1
1979,3
1980,3
1981,3
1982,3
1983,3
1984,2
1985,3
1986,3
1987,1
1988,2
1989,1
1990,3
1991,3
1992,3
1993,4
1994,4
1995,4
1996,3
1997,3
1998,4
1999,5
2000,5
2001,3
2002,3
2003,3
2004,3
2005,4
2006,3
2007,3
2008,3
2009,2
2010,3
2011,2
2012,2
2013,2
2014,2
2015,2
2016,2
2017,1
2018,2
2019,2
2020,2
2021,3
2022,3
2023,1
2024,3
2025,3
2026,2
2027,3
2028,3
2029,3
2030,4
2031,3
2032,2
2033,2
2034,2
2035,4
2036,1
2037,2
2038,4
2039,3
2040,4
2041,5
2042,5
2043,3
2044,4
2045,4
2046,3
2047,2
2048,3
2049,2
2050,2
2051,2
2052,2
2053,2
2054,1
2055,2
2056,2
2057,3
2058,3
2059,3
2060,3
2061,3
2062,4
2063,4
2064,4
2065,3
2066,3
2067,3
2068,3
2069,3
2070,3
2071,3
2072,3
2073,3
2074,3
2075,3
2076,3
2077,3
2078,2
2079,2
2080,3
2081,3
2082,3
2083,3
2084,2
2085,4
2086,3
2087,3
2088,3
2089,2
2090,3
2091,2
2092,2
2093,2
2094,3
2095,3
2096,4
2097,4
2098,1
2099,2
2100,3
2101,2
2102,2
2103,2
2104,3
2105,3
2106,2
2107,3
2108,3
2109,3
2110,3
2111,3
2112,3
2113,3
2114,4
2115,5
2116,5
2117,3
2118,4
2119,4
2120,4
2121,4
2122,4
2123,4
2124,4
2125,4
2126,4
2127,4
2128,4
2129,4
2130,4
2131,3
2132,3
2133,3
2134,3
2135,3
2136,3
2137,4
2138,4
2139,2
2140,5
2141,4
2142,6
2143,4
2144,3
2145,3
2146,3
2147,4
2148,5
2149,2
2150,2
2151,5
2152,5
2153,5
2154,5
2155,6
2156,6
2157,5
2158,5
2159,5
2160,5
2161,4
2162,2
2163,2
2164,2
2165,2
2166,2
2167,3
2168,3
2169,3
2170,2
2171,2
2172,2
2173,2
2174,2
2175,3
2176,2
2177,2
2178,1
2179,2
2180,2
2181,2
2182,2
2183,2
2184,2
2185,2
2186,1
2187,2
2188,1
2189,1
2190,2
2191,2
2192,2
2193,1
2194,2
2195,2
2196,2
2197,1
2198,1
2199,1
2200,1
2201,0
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,2
2213,1
2214,1
2215,1
2216,2
2217,2
2218,3
2219,2
2220,3
2221,3
2222,3
2223,3
2224,3
2225,4
2226,4
2227,3
2228,2
2229,3
2230,3
2231,2
2232,3
2233,3
2234,3
2235,3
2236,4
2237,3
2238,3
2239,3
2240,3
2241,3
2242,3
2243,3
2244,6
2245,6
2246,5
2247,5
2248,5
2249,6
2250,6
2251,4
2252,5
2253,5
2254,3
2255,2
2256,3
2257,3
2258,3
2259,3
2260,3
2261,3
2262,2
2263,2
2264,2
2265,2
2266,2
2267,2
2268,2
2269,3
2270,4
2271,4
2272,4
2273,3
2274,3
2275,3
2276,3
2277,4
2278,3
2279,4
2280,4
2281,3
2282,3
2283,2
2284,4
2285,4
2286,2
2287,3
2288,3
2289,4
2290,5
2291,4
2292,3
2293,3
2294,3
2295,3
2296,3
2297,1
2298,1
2299,1
2300,1
2301,2
2302,2
2303,3
2304,3
2305,2
2306,3
2307,2
2308,2
2309,3
2310,4
2311,2
2312,1
2313,2
2314,2
2315,2
2316,2
2317,2
2318,2
2319,2
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,1
2331,2
2332,2
2333,2
2334,2
2335,2
2336,2
2337,2
2338,2
2339,2
2340,1
2341,1
2342,1
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,1
2375,1
2376,0
2377,0
2378,2
2379,2
2380,2
2381,2
2382,2
2383,2
2384,2
2385,2
2386,2
2387,2
2388,2
2389,3
2390,3
2391,3
2392,3
2393,3
2394,3
2395,3
2396,1
2397,1
2398,1
2399,3
2400,2
2401,0
2402,2
2403,2
2404,2
2405,3
2406,2
2407,2
